City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Acapulco,MX,16.8634,-99.8901,85.82,70,75,2.01,broken clouds
240,Taketa,JP,32.9652,131.3785,69.78,98,100,2.33,overcast clouds
241,Inhambane,MZ,-23.865,35.3833,64.38,90,91,13.51,light rain
242,Kuandian,CN,40.7286,124.7847,64.87,62,66,11.18,broken clouds
243,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,75,0,13.8,clear sky
244,Mount Gambier,AU,-37.8333,140.7667,53.51,66,75,13.8,broken clouds
245,Byron Bay,AU,-28.65,153.6167,69.75,50,0,11.23,clear sky
246,Karaton,ID,-6.3424,106.1045,84.36,73,79,1.59,broken clouds
247,Matay,EG,28.419,30.7792,67.86,57,6,14.85,clear sky
248,Kavieng,PG,-2.5744,150.7967,84.38,70,89,5.03,overcast clouds
249,Kilindoni,TZ,-7.9139,39.6668,77.81,74,72,10.4,broken clouds
250,Iqaluit,CA,63.7506,-68.5145,33.53,86,90,5.01,snow
251,Ahipara,NZ,-35.1667,173.1667,61.97,56,21,4.16,few clouds
252,Manjacaze,MZ,-24.7117,33.8828,61.9,85,100,20.47,light rain
253,Kahului,US,20.8947,-156.47,85.96,66,40,24.16,scattered clouds
254,Edd,ER,13.9297,41.6925,87.64,62,22,4.56,few clouds
255,Saint-Joseph,RE,-21.3667,55.6167,70.16,75,20,13.47,light rain
256,Victoria,HK,22.2855,114.1577,85.96,91,99,2.21,light rain
257,Teguldet,RU,57.3064,88.1667,57.76,44,99,6.33,overcast clouds
258,Kaitangata,NZ,-46.2817,169.8464,54.86,67,44,2.73,scattered clouds
259,Batsfjord,NO,70.6345,29.7185,53.89,58,12,7.0,few clouds
260,Lompoc,US,34.6391,-120.4579,79.12,88,90,8.57,overcast clouds
261,Calexico,US,32.679,-115.4989,102.09,14,1,10.65,clear sky
262,Morondava,MG,-20.2833,44.2833,67.86,84,7,5.35,clear sky
263,Cassilandia,BR,-19.1133,-51.7342,69.62,54,0,3.15,clear sky
264,Erenhot,CN,43.6475,111.9767,57.85,43,21,14.47,few clouds
265,Richards Bay,ZA,-28.783,32.0377,60.8,70,97,17.27,light rain
266,Rocha,UY,-34.4833,-54.3333,53.8,63,48,10.96,scattered clouds
267,Whitehorse,CA,60.7161,-135.0538,58.01,35,75,17.0,broken clouds
268,Hamilton,US,39.1834,-84.5333,65.61,96,40,3.18,scattered clouds
269,Saint George,US,37.1041,-113.5841,104.47,11,1,1.99,clear sky
270,Pangnirtung,CA,66.1451,-65.7125,26.17,89,90,5.77,overcast clouds
271,Saint-Augustin,CA,51.226,-58.6502,51.26,81,100,14.47,overcast clouds
272,Cartagena,CO,10.3997,-75.5144,82.02,83,75,8.05,broken clouds
273,Pauini,BR,-7.7136,-66.9764,73.85,69,58,0.67,broken clouds
274,Kazachinskoye,RU,57.6953,93.2761,53.44,88,100,3.38,overcast clouds
275,Skjervoy,NO,70.0311,20.9714,50.59,69,0,2.98,clear sky
276,Pundri,IN,29.75,76.55,90.88,32,0,4.21,clear sky
277,Curiti,CO,6.6052,-73.0681,66.78,96,100,0.6,overcast clouds
278,Aranos,NA,-24.1333,19.1167,46.44,65,0,8.3,clear sky
279,Souillac,MU,-20.5167,57.5167,73.78,78,75,15.68,broken clouds
280,Silver City,US,32.7701,-108.2803,78.76,18,1,4.29,clear sky
281,Bowen,AU,-20.0167,148.2333,80.82,51,18,9.75,few clouds
282,Gat,IL,31.61,34.7642,66.88,76,18,0.43,few clouds
283,Alakurtti,RU,66.9672,30.3491,57.69,58,100,3.47,overcast clouds
284,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,73.06,47,0,6.13,clear sky
285,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.74,86,13,4.23,few clouds
286,Virginia Beach,US,36.8529,-75.978,72.01,95,100,9.75,moderate rain
287,Grindavik,IS,63.8424,-22.4338,50.56,81,90,22.19,overcast clouds
288,Tezu,IN,27.9167,96.1667,83.89,63,94,2.35,overcast clouds
289,Vardo,NO,70.3705,31.1107,47.55,74,13,3.4,few clouds
290,Camacha,PT,33.0833,-16.3333,61.56,63,20,8.05,few clouds
291,Berlevag,NO,70.8578,29.0864,50.49,70,11,11.86,few clouds
292,Adrar,MR,20.5022,-10.0711,86.95,26,65,22.95,broken clouds
293,Christchurch,NZ,-43.5333,172.6333,62.47,75,8,1.99,clear sky
294,La Ronge,CA,55.1001,-105.2842,62.85,82,75,14.97,broken clouds
295,Yerbogachen,RU,61.2767,108.0108,69.33,52,100,3.91,overcast clouds
296,Isla Vista,US,34.4133,-119.861,79.34,65,1,10.36,clear sky
297,Hearst,CA,49.6835,-83.6665,64.65,91,52,5.44,broken clouds
298,Rumonge,BI,-3.9736,29.4386,71.35,73,93,4.59,overcast clouds
299,Zambezi,ZM,-13.5432,23.1047,50.2,48,46,5.82,scattered clouds
300,Xining,CN,36.6167,101.7667,60.75,21,0,2.59,clear sky
301,Kenai,US,60.5544,-151.2583,55.49,58,75,10.36,broken clouds
302,Aden,YE,12.7794,45.0367,85.91,76,94,10.85,overcast clouds
303,Fukuma,JP,33.7667,130.4667,71.29,93,100,5.35,light rain
304,Wuwei,CN,37.9281,102.6414,72.77,10,0,5.17,clear sky
305,Rudnogorsk,RU,57.2639,103.7519,76.26,29,100,8.7,overcast clouds
306,Aguada De Pasajeros,CU,22.385,-80.8508,78.94,88,100,1.52,overcast clouds
307,Haines Junction,CA,60.7522,-137.5108,55.35,28,4,13.8,clear sky
308,Gamba,GA,-2.65,10.0,75.18,92,8,4.79,clear sky
309,Faya,SA,18.3851,42.4509,66.72,14,53,6.08,broken clouds
310,Cozumel,MX,20.5083,-86.9458,80.11,85,2,1.99,clear sky
311,Kindu,CD,-2.95,25.95,67.71,93,99,0.13,overcast clouds
312,Kieta,PG,-6.2167,155.6333,83.25,76,100,3.87,overcast clouds
313,Rio Gallegos,AR,-51.6226,-69.2181,33.85,100,90,3.44,light rain
314,Coquimbo,CL,-29.9533,-71.3436,56.93,94,90,5.57,overcast clouds
315,Kingman,US,35.1894,-114.053,100.18,9,1,17.92,clear sky
316,Candolim,IN,15.5181,73.7626,79.97,86,99,5.21,light rain
317,Lac-Megantic,CA,45.5834,-70.8823,62.62,99,100,4.63,overcast clouds
318,Gayeri,BF,12.6497,0.4931,88.43,42,1,7.58,clear sky
319,Matagami,CA,49.7502,-77.6328,57.31,94,75,3.56,broken clouds
320,Hofn,IS,64.2539,-15.2082,48.4,78,100,11.41,overcast clouds
321,Toora-Khem,RU,52.4675,96.11,69.93,39,81,2.17,broken clouds
322,Pangkalanbuun,ID,-2.6833,111.6167,86.54,64,94,3.94,light rain
323,Okitipupa,NG,6.5047,4.7839,74.53,98,100,2.01,moderate rain
324,Denpasar,ID,-8.65,115.2167,82.06,89,40,8.52,scattered clouds
325,Grand Gaube,MU,-20.0064,57.6608,73.8,74,8,21.68,light rain
326,San Patricio,US,28.017,-97.5169,72.84,96,100,11.1,moderate rain
327,Nha Trang,VN,12.25,109.1833,91.4,49,96,2.51,overcast clouds
328,Barguzin,RU,53.6167,109.6167,71.98,39,0,3.36,clear sky
329,Half Moon Bay,US,37.4636,-122.4286,84.38,71,1,3.44,clear sky
330,Roma,US,43.2128,-75.4557,68.4,93,90,3.44,overcast clouds
331,Copiapo,CL,-27.3667,-70.3333,55.09,79,7,1.39,clear sky
332,Vanavara,RU,60.34,102.2797,59.72,72,100,7.54,overcast clouds
333,Abha,SA,18.2164,42.5053,66.45,13,0,7.34,clear sky
334,Caravelas,BR,-17.7125,-39.2481,72.88,88,100,4.88,overcast clouds
335,Maragogi,BR,-9.0122,-35.2225,75.36,86,14,3.31,few clouds
336,Starosubkhangulovo,RU,53.1031,57.4423,53.02,93,100,14.52,moderate rain
337,Aklavik,CA,68.2191,-135.0107,45.43,82,100,6.71,light rain
338,Nakonde,ZM,-9.3421,32.745,55.08,89,24,3.8,few clouds
339,Aksarka,RU,66.5606,67.7975,44.37,60,100,15.1,overcast clouds
340,Channel-Port Aux Basques,CA,47.5702,-59.1367,50.38,87,100,14.07,light rain
341,Progreso,MX,21.2833,-89.6667,78.91,79,42,13.47,scattered clouds
342,Lamar,US,33.6668,-95.5836,75.36,74,1,1.83,clear sky
343,Kaspiyskiy,RU,45.3929,47.3707,62.47,70,25,9.46,scattered clouds
344,Kavaratti,IN,10.5669,72.642,84.13,76,97,17.31,overcast clouds
345,Owo,NG,7.1962,5.5868,72.07,97,100,3.8,overcast clouds
346,Roswell,US,34.0232,-84.3616,74.55,87,1,5.01,clear sky
