City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Chesma,RU,2021-05-24 22:56:41,53.8111,60.6533,68.72,40,37,7.65
270,Coalinga,US,2021-05-24 22:56:41,36.1397,-120.3602,90.77,36,6,6.53
271,Manitouwadge,CA,2021-05-24 22:56:41,49.1215,-85.8403,59.72,67,78,10.29
272,Kieta,PG,2021-05-24 22:56:42,-6.2167,155.6333,83.7,75,98,6.8
273,Bluffton,US,2021-05-24 22:54:22,32.2371,-80.8604,88.02,61,1,9.62
274,Kompaniyivka,UA,2021-05-24 22:56:42,48.2511,32.208,50.4,91,39,12.3
275,Hambantota,LK,2021-05-24 22:55:56,6.1241,81.1185,80.73,84,100,22.68
276,Ketchikan,US,2021-05-24 22:56:43,55.3422,-131.6461,55.35,56,44,4.81
277,Basco,PH,2021-05-24 22:56:43,20.4487,121.9702,84.16,75,18,9.89
278,Castro,BR,2021-05-24 22:56:43,-24.7911,-50.0119,46.44,69,89,1.83
279,Eatonton,US,2021-05-24 22:56:44,33.3268,-83.3885,89.6,46,59,1.63
280,Urubicha,BO,2021-05-24 22:56:44,-15.3833,-62.95,65.98,58,88,2.82
281,Saint-Philippe,RE,2021-05-24 22:56:44,-21.3585,55.7679,71.19,76,71,10.76
282,Berlevag,NO,2021-05-24 22:56:17,70.8578,29.0864,36.97,65,79,3.74
283,Galion,US,2021-05-24 22:56:45,40.7337,-82.7899,83.17,69,82,2.42
284,Port Elizabeth,ZA,2021-05-24 22:56:45,-33.918,25.5701,64.69,82,0,8.05
285,Isangel,VU,2021-05-24 22:53:23,-19.55,169.2667,73.51,55,40,12.95
286,Itarema,BR,2021-05-24 22:56:45,-2.9248,-39.9167,80.37,78,86,13.06
287,Fairbanks,US,2021-05-24 22:53:20,64.8378,-147.7164,70.25,31,1,4.61
288,Mujiayingzi,CN,2021-05-24 22:56:46,42.1167,118.7833,50.61,27,7,9.64
289,Bedesa,ET,2021-05-24 22:56:46,8.9,40.7833,60.87,84,3,4.72
290,Dikson,RU,2021-05-24 22:56:46,73.5069,80.5464,21.85,93,27,5.64
291,Kintampo,GH,2021-05-24 22:56:24,8.0563,-1.7306,75.18,81,45,6.11
292,Quatre Cocos,MU,2021-05-24 22:56:47,-20.2078,57.7625,71.71,77,31,13.8
293,Yichun,CN,2021-05-24 22:56:47,47.7,128.9,50.85,47,65,4.34
